id_client;enfant_conduite_accompagne;usage_vehicule;est_rouge;type_conduite;date_demande;etat_dossier;formule;lat;lon;genre;tranches d'âge;POINTS PERDUS;âge véhicule;devis;revenus 1
9;FAUX;catégorie 1;no;Highly Urban/ Urban;9;complet;dev_integral;43.672066;-1.080329;F;20-25;0-2;0-7;300-323;120300-125301
7;VRAI;catégorie 2;no;Highly Urban/ Urban;22;complet;dev_express;46.54132;3.244618;F;90-95;02-avr;0-7;252-275;50272-55273
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;5;complet;dev_express;43.758024;5.883326;F;45-50;0-2;0-7;228-251;20260-25261
9;FAUX;catégorie 2;no;Highly Urban/ Urban;17;complet;dev_integral;43.607076;6.954669;F;0-5;02-avr;0-7;300-323;-5001
8;FAUX;catégorie 1;no;Highly Urban/ Urban;13;complet;dev_vip;45.159834;1.534216;M;65-70;02-avr;août-15;636-659;
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;13;complet;dev_premium;47.699929;6.624824;F;30-35;02-avr;août-15;444-467;75282-80283
9;VRAI;catégorie 1;no;z_Highly Rural/ Rural;11;complet;dev_express;46.99955;3.156228;F;80-85;0-2;août-15;252-275;130304-135305
9;FAUX;catégorie 2;no;Highly Urban/ Urban;11;complet;dev_premium;45.632036;6.312182;M;65-70;0-2;août-15;324-347;50272-55273
9;FAUX;catégorie 2;no;Highly Urban/ Urban;5;complet;dev_premium;43.674423;4.435264;M;65-70;0-2;août-15;372-395;110296-115297
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;13;complet;dev_integral;44.244412;0.649379;F;50-55;0-2;août-15;300-323;
9;VRAI;catégorie 2;no;Highly Urban/ Urban;22;complet;dev_express;43.099731;5.858554;F;55-60;0-2;août-15;252-275;20260-25261
8;FAUX;catégorie 2;no;Highly Urban/ Urban;5;complet;dev_premium;43.702801;7.235774;M;05-oct;0-2;0-7;372-395;20260-25261
9;FAUX;catégorie 2;no;Highly Urban/ Urban;19;complet;dev_express;46.305447;1.662321;F;70-75;0-2;16-23;228-251;70280-75281
8;FAUX;catégorie 1;no;z_Highly Rural/ Rural;19;complet;dev_integral;43.513871;5.425806;M;05-oct;04-juin;0-7;300-323;-5001
9;FAUX;catégorie 2;no;Highly Urban/ Urban;16;complet;dev_integral;47.738152;7.27277;M;75-80;0-2;0-7;300-323;35266-40267
9;FAUX;catégorie 2;no;Highly Urban/ Urban;20;complet;dev_express;43.593659;2.242786;M;85-90;0-2;août-15;276-299;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;16;complet;dev_integral;48.892379;2.345654;F;50-55;0-2;août-15;300-323;105294-110295
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;10;complet;dev_express;48.805806;2.053751;F;85-90;0-2;août-15;276-299;50272-55273
9;FAUX;catégorie 2;yes;Highly Urban/ Urban;6;complet;dev_express;49.102083;2.51418;F;65-70;0-2;août-15;252-275;75282-80283
9;FAUX;catégorie 2;no;Highly Urban/ Urban;18;complet;dev_integral;45.558815;0.285688;F;80-85;0-2;août-15;276-299;40268-45269
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;12;complet;dev_express;49.769261;3.61325;M;35-40;0-2;16-23;252-275;65278-70279
9;VRAI;catégorie 2;no;Highly Urban/ Urban;13;complet;dev_premium;45.772682;4.878264;M;90-95;0-2;;372-395;25262-30263
9;FAUX;catégorie 1;yes;Highly Urban/ Urban;21;complet;dev_premium;44.414901;1.417711;F;20-25;0-2;0-7;372-395;
8;FAUX;catégorie 1;no;Highly Urban/ Urban;6;complet;dev_premium;44.844042;-0.64036;F;80-85;04-juin;0-7;444-467;45270-50271
9;FAUX;catégorie 1;no;Highly Urban/ Urban;18;complet;dev_express;48.949184;2.358367;M;15-20;0-2;0-7;252-275;20260-25261
9;FAUX;catégorie 2;yes;z_Highly Rural/ Rural;16;complet;dev_express;47.079441;2.371744;M;65-70;0-2;;252-275;
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;13;complet;dev_integral;48.111941;-0.715521;F;25-30;0-2;0-7;276-299;45270-50271
9;FAUX;catégorie 2;no;Highly Urban/ Urban;17;complet;dev_integral;45.891462;1.146403;F;45-50;04-juin;;276-299;75282-80283
9;FAUX;catégorie 2;no;Highly Urban/ Urban;13;complet;dev_vip;48.997678;2.148846;F;55-60;0-2;0-7;852-875;55274-60275
9;FAUX;catégorie 2;no;Highly Urban/ Urban;7;complet;dev_premium;45.708355;2.25454;F;15-20;0-2;16-23;348-371;105294-110295
9;FAUX;catégorie 2;no;Highly Urban/ Urban;3;complet;dev_express;49.201047;2.49506;F;45-50;0-2;0-7;252-275;35266-40267
9;FAUX;catégorie 1;yes;z_Highly Rural/ Rural;15;complet;dev_integral;47.414498;2.927423;M;35-40;06-août;0-7;300-323;25262-30263
9;FAUX;catégorie 2;no;Highly Urban/ Urban;13;complet;dev_express;47.569467;5.964871;F;65-70;02-avr;août-15;252-275;115298-120299
9;FAUX;catégorie 2;no;z_Highly Rural/ Rural;6;complet;dev_premium;47.401709;-0.47831;M;05-oct;02-avr;0-7;396-419;30264-35265
9;VRAI;catégorie 2;no;Highly Urban/ Urban;6;complet;dev_express;49.794767;3.462598;M;45-50;0-2;août-15;252-275;70280-75281
9;FAUX;catégorie 2;no;Highly Urban/ Urban;7;complet;dev_integral;45.881966;6.176773;F;65-70;0-2;août-15;300-323;20260-25261
9;FAUX;catégorie 1;no;Highly Urban/ Urban;6;complet;dev_express;46.392716;6.606862;F;60-65;0-2;août-15;252-275;30264-35265
